@RELATION reviews-de

@ATTRIBUTE hasPicture                 NUMERIC
@ATTRIBUTE hasVideo                   NUMERIC
@ATTRIBUTE isPurchaseVerified         NUMERIC
@ATTRIBUTE length                     NUMERIC
@ATTRIBUTE rating                     NUMERIC
@ATTRIBUTE sentimentAnalysis          NUMERIC
@ATTRIBUTE sentimentRatingOffset      NUMERIC
@ATTRIBUTE averageProductRating       NUMERIC
@ATTRIBUTE productRatingOffset        NUMERIC
@ATTRIBUTE consecutiveCaps            NUMERIC
@ATTRIBUTE consCapsTextRatio          NUMERIC
@ATTRIBUTE distinctWordRatio          NUMERIC
@ATTRIBUTE averageWordLength          NUMERIC
@ATTRIBUTE numberOfLineBreaks         NUMERIC
@ATTRIBUTE numberOfQuestionMarks      NUMERIC
@ATTRIBUTE numberOfExclMarks          NUMERIC
@ATTRIBUTE lineBreakTextRatio         NUMERIC
@ATTRIBUTE punctuationLetterRatio     NUMERIC
@ATTRIBUTE nlpExpert	NUMERIC
@ATTRIBUTE nlpWaitingForMrPerfect	NUMERIC
@ATTRIBUTE nlpNoDemands	NUMERIC
@ATTRIBUTE nlpBeatingAroundTheBush	NUMERIC
@ATTRIBUTE nlpRager	NUMERIC
@ATTRIBUTE nlpEuphoric	NUMERIC
@ATTRIBUTE nlpComplainer	NUMERIC
@ATTRIBUTE persona                {Expert,WaitingForMrPerfect,NoDemands,BeatingAroundTheBush,Rager,Euphoric,Complainer}

@DATA
0,0,1,160,1,1,5,?,?,0,0.0,0.9,5.333333333333333,0,0,6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,15,5,3,3,?,?,0,0.0,1.0,3.75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoDemands
0,0,1,2146,2,5,8,?,?,0,0.0,0.6765578635014837,6.243323442136498,14,0,1,0.04154302670623145,0.002967359050445104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,0,240,5,5,5,?,?,2,0.008333333333333333,0.9166666666666666,6.666666666666667,0,0,2,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Euphoric
0,0,1,609,2,2,5,?,?,1,0.0016420361247947454,0.7058823529411765,5.970588235294118,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
0,0,1,688,5,5,5,?,?,34,0.04941860465116279,0.7894736842105263,6.035087719298246,0,0,5,0.0,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Euphoric
0,0,0,173,1,1,5,?,?,24,0.13872832369942195,1.0,6.178571428571429,0,0,1,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,1927,5,5,5,?,?,2,0.001059322033898305,0.7013888888888888,6.555555555555555,13,0,0,0.04513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,337,1,5,9,?,?,3,0.008982035928143712,0.96,6.68,1,0,9,0.02,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,6279,5,5,5,?,?,45,0.007228915662650603,0.5185185185185185,6.404320987654321,18,0,5,0.018518518518518517,0.0051440329218107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BeatingAroundTheBush
0,0,1,822,3,5,7,?,?,1,0.0012437810945273632,0.7983870967741935,6.483870967741935,6,0,0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
0,0,1,524,1,1,5,?,?,0,0.0,0.8111111111111111,5.722222222222222,3,0,0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,679,1,1,5,?,?,18,0.02674591381872214,0.7941176470588235,6.598039215686274,2,0,4,0.0196078431372549,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,743,5,5,5,?,?,0,0.0,0.8461538461538461,6.971153846153846,6,0,2,0.057692307692307696,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Euphoric
0,0,1,864,5,5,5,?,?,0,0.0,0.8110236220472441,6.803149606299213,0,0,2,0.0,0.015748031496062992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,469,1,5,9,?,?,0,0.0,0.7945205479452054,6.424657534246576,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
